token_id,token_str
29900,0
29896,1
29906,2
29941,3
29946,4
29945,5
29953,6
29955,7
29947,8
29929,9
5225,▁zero
9171,zero
24214,Zero
24786,▁zeros
28933,▁Zero
650,one
697,▁one
2873,ones
3118,▁One
6716,One
6743,▁ones
12413,ONE
1023,▁two
7803,▁Two
10184,two
13985,Two
2211,▁three
12753,▁Three
17536,three
28575,Three
3023,▁four
12458,▁Four
17823,four
5320,▁five
20818,five
22853,▁Five
4832,▁six
18372,▁Six
28319,six
9881,▁seven
26647,▁Seven
9475,▁eight
14183,▁nine
841,ten
3006,▁ten
12444,▁Ten
25187,▁tens
28121,▁eleven
17680,▁twelve
25020,▁fifteen
10081,▁twenty
17058,▁thirty
20949,▁forty
19044,▁fifty
6893,▁hundred
21006,▁hundreds
10405,▁thousand
17202,▁thousands
7284,▁million
14746,▁millions
24464,▁billion
5490,▁January
6339,▁February
4779,▁March
8575,▁march
3786,▁April
17187,▁april
1122,▁may
2610,▁May
12703,May
13029,may
5306,▁June
5468,▁July
3111,▁August
15251,▁august
26197,August
3839,▁September
18251,▁september
5533,▁October
3979,▁November
14530,▁november
5846,▁December
13034,▁december
27822,▁Monday
28728,▁Friday
24211,▁Saturday
16340,▁Sunday
1870,▁null
4265,▁NULL
4304,null
7327,Null
10074,NULL
19014,▁Null
1780,▁void
5405,void
29434,▁Void
2323,▁single
14369,single
15771,Single
16740,▁Single
22065,▁Singles
22102,▁singles
6997,unity
20107,▁unity
20872,▁Unity
6651,▁solo
29687,▁Solo
7601,▁primary
16072,primary
26666,Primary
28267,▁Primary
29778,▁PRIMARY
3765,▁double
8896,double
11599,▁Double
11843,Double
27641,▁doubles
5101,▁pair
11000,▁pairs
18784,pair
20547,Pair
21954,▁triple
6862,▁square
17619,square
19256,▁Square
25256,▁squares
3909,uni
8110,Uni
11604,Unis
2652,▁bis
3457,▁Bi
4768,▁bi
5365,bi
12809,BI
16818,▁Bis
18809,bis
20517,Bi
3367,▁tri
3626,tri
8602,▁Tri
29565,Tri
29223,▁Quint
7916,▁sex
14167,sex
21703,▁Sex
4843,▁sept
28742,▁Sept
4725,▁oct
4756,▁Oct
20082,oct
25375,Oct
1602,▁dec
3826,▁Dec
6185,Dec
7099,dec
937,▁first
3824,▁First
4102,first
6730,First
1473,▁second
